Open,Close,High,Low,Volume,Date
93.47,93.52,94.38,91.62,,10/25/22
93.59,93.26,94.4,91.22,,10/24/22
92.45,93.5,93.8,91,,10/21/22
92.4,92.38,94.77,91.91,,10/20/22
90.79,92.41,92.85,89.32,,10/19/22
91.99,90.03,92.66,88.77,,10/18/22
91.71,91.62,93.21,90.83,,10/17/22
94.53,91.63,95.11,91.28,,10/14/22
92.49,94.57,94.92,91.08,,10/13/22
93.72,92.45,95.17,91.56,,10/12/22
95.93,94.29,96.46,93.11,,10/11/22
98.75,96.19,98.75,95.6,,10/10/22
94.71,97.92,98.58,93.94,,10/07/22
93.71,94.42,94.98,92.72,,10/06/22
91.89,93.37,93.96,90.76,,10/05/22
88.81,91.8,92.4,88.78,,10/04/22
86.35,88.86,89.82,86.35,,10/03/22
88.53,85.14,89.8,87.69,,09/30/22
88.97,88.49,90.12,87.33,,09/29/22
86.14,89.32,89.47,84.26,,09/28/22
84.05,86.27,87.15,84.01,,09/27/22
86.62,84.06,87.65,83.65,,09/26/22
90.46,86.15,90.84,85.5,,09/23/22
89.99,90.46,92.81,89.3,,09/22/22
